iter	Passed	Remaining
403	8479	12509
404	8498	12485
405	8517	12462
406	8537	12439
407	8556	12415
408	8575	12391
409	8594	12367
410	8613	12343
411	8632	12319
412	8651	12295
413	8669	12272
414	8689	12249
415	8710	12228
416	8732	12208
417	8750	12183
418	8769	12160
419	8790	12139
420	8813	12120
421	8835	12102
422	8859	12084
423	8881	12065
424	8904	12046
425	8926	12027
426	8948	12007
427	8969	11987
428	8991	11967
429	9014	11950
430	9035	11928
431	9054	11905
432	9073	11881
433	9092	11857
434	9111	11834
435	9132	11813
436	9151	11789
437	9170	11766
438	9189	11743
439	9208	11719
440	9227	11696
441	9245	11672
442	9265	11649
443	9283	11625
444	9302	11602
445	9321	11578
446	9340	11555
447	9359	11532
448	9378	11508
449	9397	11485
450	9416	11462
451	9437	11441
452	9457	11419
453	9476	11397
454	9495	11373
455	9514	11350
456	9556	11354
457	9581	11338
458	9599	11314
459	9619	11291
460	9638	11268
461	9657	11245
462	9675	11222
463	9694	11198
464	9712	11174
465	9731	11151
466	9750	11128
467	9768	11104
468	9787	11081
469	9806	11058
470	9824	11034
471	9843	11010
472	9862	10988
473	9880	10964
474	9898	10940
475	9918	10918
476	9938	10896
477	9957	10874
478	9976	10851
479	9995	10828
480	10014	10805
481	10033	10782
482	10052	10760
483	10071	10737
484	10090	10715
485	10110	10692
486	10128	10669
487	10148	10647
488	10167	10624
489	10186	10601
490	10205	10579
491	10223	10556
492	10242	10533
493	10262	10511
494	10280	10488
495	10299	10466
496	10317	10442
497	10337	10420
498	10357	10398
499	10375	10375
500	10394	10353
501	10415	10332
502	10435	10310
503	10454	10288
504	10473	10265
505	10491	10242
506	10511	10220
507	10538	10206
508	10556	10183
509	10575	10160
510	10594	10138
511	10613	10116
512	10633	10094
513	10651	10071
514	10670	10049
515	10689	10026
516	10708	10003
517	10726	9981
518	10745	9959
519	10765	9936
520	10783	9914
521	10802	9892
522	10821	9869
523	10839	9846
524	10858	9824
525	10877	9802
526	10896	9779
527	10915	9757
528	10935	9736
529	10955	9714
530	10973	9692
531	10994	9671
532	11013	9650
533	11033	9628
534	11052	9606
535	11071	9584
536	11091	9562
537	11110	9540
538	11130	9519
539	11149	9498
540	11169	9476
541	11189	9455
542	11209	9433
543	11242	9424
544	11287	9423
545	11334	9424
546	11381	9425
547	11419	9418
548	11438	9396
549	11458	9374
550	11478	9353
551	11498	9331
552	11517	9310
553	11537	9288
554	11557	9266
555	11577	9245
556	11596	9223
557	11615	9201
558	11635	9179
559	11654	9157
560	11673	9135
561	11693	9113
562	11713	9091
563	11732	9070
564	11751	9047
565	11770	9025
566	11791	9004
567	11810	8982
568	11830	8961
569	11849	8939
570	11868	8917
571	11888	8895
572	11907	8873
573	11927	8851
574	11947	8830
575	11965	8807
576	11984	8786
577	12005	8765
578	12028	8745
579	12051	8726
580	12074	8707
581	12097	8688
582	12120	8669
583	12143	8649
584	12165	8630
585	12188	8611
586	12212	8592
587	12234	8572
588	12256	8552
589	12279	8533
590	12300	8512
591	12319	8490
592	12338	8468
593	12358	8447
594	12377	8425
595	12397	8403
596	12417	8382
597	12436	8360
598	12456	8338
599	12475	8316
600	12494	8295
601	12513	8273
602	12533	8251
603	12552	8230
604	12572	8208
605	12593	8187
606	12613	8166
607	12632	8144
608	12652	8123
609	12671	8101
610	12691	8080
611	12711	8058
612	12730	8037
613	12749	8015
614	12769	7993
615	12789	7972
616	12809	7951
617	12828	7929
618	12847	7908
619	12867	7886
620	12887	7865
621	12906	7843
622	12925	7821
623	12944	7799
624	12963	7777
625	12981	7755
626	13000	7733
627	13019	7712
628	13039	7690
629	13058	7669
630	13077	7647
631	13099	7627
632	13121	7607
633	13141	7586
634	13160	7564
635	13180	7543
636	13200	7522
637	13219	7500
638	13239	7479
639	13258	7458
640	13278	7436
641	13297	7414
642	13316	7393
643	13336	7372
644	13356	7351
645	13375	7329
646	13395	7308
647	13416	7288
648	13436	7266
649	13456	7245
650	13476	7224
651	13496	7203
652	13515	7182
653	13535	7160
654	13554	7139
655	13574	7118
656	13594	7097
657	13613	7075
658	13632	7054
659	13652	7033
660	13672	7012
661	13691	6990
662	13711	6969
663	13731	6948
664	13751	6927
665	13770	6906
666	13790	6885
667	13810	6864
668	13830	6842
669	13849	6821
670	13868	6799
671	13887	6778
672	13908	6757
673	13927	6736
674	13947	6715
675	13966	6693
676	13985	6672
677	14005	6651
678	14024	6629
