iter	RMSE
812	125.2760525
813	125.0447164
814	124.6067652
815	124.3453052
816	124.2601766
817	124.0373512
818	123.701826
819	123.5669948
820	123.4473598
821	123.1550307
822	122.8570804
823	122.4414661
824	122.1551477
825	121.8971023
826	121.4647473
827	121.2408535
828	121.1049641
829	120.8890573
830	120.6110093
831	120.3254601
832	120.025937
833	119.8571606
834	119.5342155
835	119.4238224
836	118.962632
837	118.7212896
838	118.57983
839	118.3830016
840	118.1544625
841	118.0043201
842	117.7702367
843	117.4945505
844	117.1159651
845	116.9028855
846	116.4566649
847	116.2897804
848	115.8464687
849	115.4570346
850	115.3537274
851	115.1441761
852	114.8700777
853	114.425746
854	114.1942145
855	113.8294122
856	113.4457463
857	113.3190928
858	113.182688
859	112.911179
860	112.6371892
861	112.4439631
862	112.2403331
863	111.9753279
864	111.7029298
865	111.627988
866	111.4423806
867	111.2650561
868	110.940087
869	110.6873306
870	110.5139758
871	110.380459
872	110.2004811
873	109.9105239
874	109.6983418
875	109.3691067
876	109.0034146
877	108.6118833
878	108.3522228
879	108.1356529
880	107.9218717
881	107.6262212
882	107.2578838
883	107.0678515
884	106.7090142
885	106.2953356
886	106.0478922
887	105.7788421
888	105.5624931
889	105.4087781
890	105.2457094
891	105.1128485
892	104.865738
893	104.7098492
894	104.2864717
895	103.9983559
896	103.7983058
897	103.5258282
898	103.251743
899	102.8966463
900	102.6591468
901	102.3402979
902	102.178842
903	101.9799682
904	101.8234118
905	101.5004844
906	101.2230964
907	101.1096257
908	100.7643732
909	100.4534784
910	100.3202632
911	100.1875367
912	99.94354256
913	99.67928431
914	99.40673173
915	99.29669115
916	99.09066781
917	98.85685284
918	98.64535667
919	98.33825943
920	98.05762749
921	97.88395545
922	97.82281399
923	97.54397645
924	97.32064401
925	97.17795405
926	97.06851014
927	96.89743291
928	96.7524895
929	96.54709967
930	96.35842162
931	96.17212829
932	95.99275809
933	95.81777366
934	95.5339832
935	95.46467993
936	95.130586
937	94.9815198
938	94.6685345
939	94.52489265
940	94.19144701
941	94.02153255
942	93.84329269
943	93.61633969
944	93.48974554
945	93.28231545
946	93.0619691
947	92.83656485
